SiteCodeKey,Site,ZoneCode,SiteComments,InvLat1DD,InvLon1DD,SiteCodeFK,InvHabMatchDegree,InvHabmatchComment,HabLatDD,HabLonDD,HabDepth,SedType1,SedType2,SedChoice,SedComb,VegCovScore,VegDomList,InvWQMatchDegree,InvWQmatchComment,WQLatDD,WQLonDD,WQComment,WQdep1,Temptr1,inferred Temptr1,pH1,SpCond1,Turb1,DOpsat1,DOconc1,inferred DOconc1,BmAtten1
APIS17_02R,02R,random,random,46.97392,-90.62402,APIS17_02R,exact,8 m,46.97396,-90.6241,49.8,clay,silt,equal,clay_silt,,,exact,,46.974,-90.62366,CTD data,surface: 2 m,17.241,,8.253,99.612,,,9.396,,0.448
APIS17_04R,04R,random,random,46.96838,-90.78007,APIS17_04R,exact,,46.96838,-90.78006,33.8,silt,clay,prim/secd,clay_silt,,,exact,,46.96838,-90.78006,hydrolab data,surface,17.44,,8.11,14.2,0.8,106,9.93,,
APIS17_07R,07R,random,random,46.93548,-90.65382,APIS17_07R,approx,28 m,46.9357,-90.65363,8.9,clay,silt,equal,clay_silt,,,exact,,46.93566,-90.6535,CTD data,surface: 2 m,17.441,,8.196,99.492,,,9.296,,0.403
APIS17_08R,08R,random,random,46.99222,-90.75318,APIS17_08R,exact,,46.99221,-90.75318,39,silt,clay,prim/secd,clay_silt,,,exact,,46.99221,-90.75318,hydrolab data,surface,17.59,,8.11,14.2,0,106.6,10.03,,
APIS17_12R,12R,random,random,46.87515,-90.6869,APIS17_12R,exact,16 m,46.87505,-90.68675,47.3,clay,silt,equal,clay_silt,,,exact,,46.87483,-90.68683,CTD data,surface: 2.5 m,17.1516,,8.277,99.376,,,9.3867,,0.4581
APIS17_13R,13R,random,random,46.9895,-90.67585,APIS17_13R,exact,,46.9895,-90.67585,39.3,silt,,onlyprim,clay_silt,,,exact,,46.9895,-90.67566,CTD data,surface: 2 m,17.638,,8.296,99.786,,,9.249,,0.458
APIS17_14R,14R,random,random,46.9515,-90.7032,APIS17_14R,exact,20 m,46.95131,-90.7032,50.2,clay,organic,equal,clay_silt,,,exact,,46.95116,-90.70266,CTD data,surface: 2 m,17.232,,8.291,99.821,,,9.472,,0.504
APIS17_15R,15R,random,random,46.9043,-90.67988,APIS17_15R,exact,11 m,46.9044,-90.67991,50.3,clay,silt,equal,clay_silt,,,exact,,46.9045,-90.67933,CTD data,surface: 2 m,18.0199,,8.278,99.837,,,9.3943,,0.4709
APIS17_24T,24T,target,River Mouth,46.94937,-90.8068,APIS17_24T,exact,,46.94936,-90.8068,31,clay,,onlyprim,clay_silt,,,exact,,46.94936,-90.8068,hydrolab data,surface,17.13,,8.1,14.2,0,106.8,10.15,,
APIS17_25T,25T,target,River Mouth,46.95762,-90.91617,APIS17_25T,exact,,46.95761,-90.91616,16.2,clay,,onlyprim,clay_silt,,,exact,,46.95761,-90.91616,hydrolab data,surface,16.1,,8.01,14.1,0.9,105.8,10.12,,
APIS17_30T,30T,target,River Mouth,46.9401,-90.81945,APIS17_30T,exact,,46.9401,-90.81945,15.6,silt,,onlyprim,clay_silt,,,exact,,46.9401,-90.81945,hydrolab data,surface,16.94,,8.07,14.4,1,106.2,10,,
APIS17_51T,51T,target,Near Private Dock,46.7832,-90.79227,APIS17_51T,exact,,46.7832,-90.79226,2.8,silt,clay,prim/secd,clay_silt,,,exact,,46.7832,-90.79226,hydrolab data,surface,18.37,,8.18,15.8,0,107.4,9.8,,
APIS17_52T,52T,target,River Mouth,46.78272,-90.8516,APIS17_52T,exact,,46.78271,-90.8516,10.2,clay,silt,prim/secd,clay_silt,,,exact,,46.78271,-90.8516,hydrolab data,surface,18.34,,8.17,15.5,2.5,106.8,9.86,,
APIS17_53T,53T,target,River Mouth,46.77703,-90.8387,APIS17_53T,exact,,46.77703,-90.8387,31,silt,,onlyprim,clay_silt,,,exact,,46.77703,-90.8387,hydrolab data,surface,18.72,,8.18,15.9,2,108.7,9.88,,
APIS17_55T,55T,target,River Mouth,46.7437,-90.83513,APIS17_55T,exact,,46.7437,-90.83513,23,silt,clay,onlyprim,clay_silt,,,exact,,46.7437,-90.83513,hydrolab data,surface,19.4,,8.13,16.5,3,107.5,9.67,,
APIS17_56T,56T,target,River Mouth,46.73735,-90.86417,APIS17_56T,exact,,46.73735,-90.86416,14.6,silt,clay,prim/secd,clay_silt,,,exact,,46.73735,-90.86416,hydrolab data,surface,18.82,,8.21,16.2,1.3,109.8,9.89,,
APIS17_63R,63R,random,random,46.98417,-90.69123,APIS17_63R,exact,12 m,46.98406,-90.69118,16.3,clay,silt,equal,clay_silt,,,exact,,46.984,-90.691,CTD data,surface: 2 m,18.2225,,8.25,99.728,,,9.2704,,0.4482
APIS17_64R,64R,random,random,46.91322,-90.60375,APIS17_64R,exact,1 m,46.91321,-90.60373,45,clay,silt,equal,clay_silt,,,exact,,46.91316,-90.60333,CTD data,surface: 2 m,16.3996,,8.337,99.464,,,9.5752,,0.5157
APIS17_66R,66R,random,random,46.96872,-90.80827,APIS17_66R,exact,,46.96871,-90.80826,6.2,clay,rock,equal,clay_silt,,,exact,,46.96871,-90.80826,hydrolab data,surface,17.13,,8.09,14.1,2.7,104.6,9.95,,
APIS17_67R,67R,random,random,46.84463,-90.76572,APIS17_67R,exact,,46.84463,-90.76571,24,clay,,onlyprim,clay_silt,,,exact,,46.84463,-90.76571,hydrolab data,surface,17.08,,8.13,13.9,2.1,106.1,10.05,,
CB13-0003,3,Z1_BandNO,,46.72045,-90.8272,CB13-0003,exact,,46.72045,-90.8272,20,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0004,4,Z2_BandNO,,46.6277667,-90.8829167,CB13-0004,exact,,46.6277667,-90.8829167,9.5,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0011,11,Z3_BandNO,,46.72205,-90.8501333,CB13-0011,exact,,46.72205,-90.8501333,21,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,1.4
CB13-0017,17,Z2_BandYES,,46.5879667,-90.9053333,CB13-0017,exact,,46.5879667,-90.9053333,2.9,clay,organic,prim/secd,clay_silt,2,vallis,,,,,,,,,,,,,,,
CB13-0019,19,Z1_BandNO,,46.7292667,-90.8181833,CB13-0019,exact,,46.7292667,-90.8181833,20,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0021,21,Z2_BandNO,,46.6147833,-90.85,CB13-0021,exact,,46.6147833,-90.85,5.5,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0028,28,Z3_BandNO,,46.65435,-90.8978,CB13-0028,exact,,46.65435,-90.8978,8.5,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0030,30,Z3_BandNO,,46.7045167,-90.84405,CB13-0030,exact,,46.7045167,-90.84405,20,clay,gravel,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0038,38,Z2_BandNO,,46.6927833,-90.82895,CB13-0038,exact,,46.6927833,-90.82895,14.5,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0039,39,Z1_BandNO,,46.7179833,-90.8171,CB13-0039,exact,,46.7179833,-90.8171,11,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0040,40,Z3_BandNO,,46.67065,-90.8643167,CB13-0040,exact,,46.67065,-90.8643167,18.5,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0042,42,Z1_BandNO,,46.7074667,-90.7721833,CB13-0042,exact,,46.7074667,-90.7721833,4.2,clay,organic,prim/secd,clay_silt,1,chara,,,,,,,,,,,,,,,
CB13-0046,46,Z2_BandNO,,46.70595,-90.8343833,CB13-0046,exact,,46.70595,-90.8343833,18,clay,gravel,prim/secd,clay_silt,0,,"invPF, invZT",CB13-0046,46.70595,-90.8343833,"CTD, deep WQ also",surface,19.2,,7.7,100.3,,98.7,9.1,,
CB13-0047,47,Z3_BandNO,,46.6249167,-90.9152333,CB13-0047,exact,,46.6249167,-90.9152333,7,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0056,56,Z3_BandNO,,46.6491663,-90.910468,CB13-0056,exact,,46.6491663,-90.910468,8,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0059,59,Z3_BandNO,,46.6199,-90.9041167,CB13-0059,exact,,46.6199,-90.9041167,8,clay,,onlyprim,clay_silt,0,,"invPF, invZZT",CB13-0059,46.6199,-90.9041167,"CTD, deep WQ also",surface,18.2,,9.3,100.6,,102,9.6,,
CB13-0060,60,Z2_BandNO,,46.66175,-90.8626833,CB13-0060,exact,,46.66175,-90.8626833,12,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0062,62,Z3_BandNO,,46.7153333,-90.8521333,CB13-0062,exact,,46.7153333,-90.8521333,20,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0063,63,Z3_BandNO,,46.6311333,-90.88335,CB13-0063,exact,,46.6311333,-90.88335,9.5,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0065,65,Z2_BandYES,,46.5833333,-90.9131667,CB13-0065,exact,,46.5833333,-90.9131667,1.2,silt,gravel,prim/secd,clay_silt,0,,invPF,CB13-0065,46.5833333,-90.9131667,,surface,19.64,,7.44,95.6,6.3,99.9,9.05,,
CB13-0067,67,Z1_BandNO,,46.7228,-90.82775,CB13-0067,exact,,46.7228,-90.82775,22,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0068,68,Z2_BandNO,,46.6043667,-90.9004,CB13-0068,exact,,46.6043667,-90.9004,6.5,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0070,70,Z2_BandNO,,46.6826833,-90.8423833,CB13-0070,exact,,46.6826833,-90.8423833,15,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0079,79,Z3_BandNO,,46.6383833,-90.9103167,CB13-0079,exact,,46.6383833,-90.9103167,8.5,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0084,84,Z2_BandNO,,46.6017833,-90.9168667,CB13-0084,exact,,46.6017833,-90.9168667,5.5,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0111,111,Z3_BandNO,,46.61575,-90.922,CB13-0111,exact,,46.61575,-90.922,7,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,0.7
CB13-0116,116,Z2_BandNO,,46.6032833,-90.8861,CB13-0116,exact,,46.6032833,-90.8861,6,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0120,120,Z3_BandNO,,46.6518,-90.9006,CB13-0120,exact,,46.6518,-90.9006,9,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0123,123,Z3_BandNO,,46.62165,-90.9003167,CB13-0123,exact,,46.62165,-90.9003167,8.5,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0172,172,Z3_BandNO,,46.6437333,-90.8880667,CB13-0172,exact,,46.6437333,-90.8880667,10,clay,silt,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-0175,175,Z2_BandNO,,46.6359167,-90.86245,CB13-0175,exact,,46.6359167,-90.86245,8,clay,silt,prim/secd,clay_silt,1,chara?,,,,,,,,,,,,,,,
CB13-0193,193,Z2_BandYES,,46.5899667,-90.8952167,CB13-0193,exact,,46.5899667,-90.8952167,2.2,clay,organic,prim/secd,clay_silt,1,elodea,,,,,,,,,,,,,,,
CB13-0200BS,200,Z3_BandYES,Matched to sled,46.6676667,-90.8895,CB13-0200BS,exact,,46.6676667,-90.8895,1.8,silt,,onlyprim,clay_silt,4,"elodea, coontail, potam",,,,,,,,,,,,,,,
CB13-0268,268,Z3_BandYES,,46.6638333,-90.9061667,CB13-0268,exact,,46.6638333,-90.9061667,1.7,silt,clay,equal,clay_silt,2,ribbon-leaf potam,invPF,CB13-0268,46.6638333,-90.9061667,,surface,19.88,,7.78,97.5,5,101.6,9.15,,
CB13-0268BS,268,Z3_BandYES,Matched to sled,46.6658333,-90.903,CB13-0268BS,exact,,46.6658333,-90.903,1,silt,,onlyprim,clay_silt,4,"najas, elodea, algae",,,,,,,,,,,,,,,
CB13-0308,308,Z2_BandYES,,46.6045333,-90.8765833,CB13-0308,exact,,46.6045333,-90.8765833,4.5,clay,,onlyprim,clay_silt,3,elodea,,,,,,,,,,,,,,,
CB13-0318,318,Z3_BandYES,,46.709,-90.858,CB13-0318,exact,,46.709,-90.858,6.3,clay,organic,prim/secd,clay_silt,0,,invPF,CB13-0318,46.709,-90.858,,surface,19.8,,8,94.7,3.1,108,9.7,,
CB13-0420,420,Z2_BandYES,,46.6048333,-90.8612833,CB13-0420,exact,,46.6048333,-90.8612833,2.2,clay,organic,prim/secd,clay_silt,1,chara,,,,,,,,,,,,,,,
CB13-1506,1506,Z4_BandYES,,46.889,-90.7495,CB13-1506,exact,,46.889,-90.7495,6.2,clay,organic,prim/secd,clay_silt,0,,invPF,CB13-1506,46.889,-90.7495,,surface,18.4,,8,94.8,2.9,107,9.9,,
CB13-1511,1511,Z4_BandNO,,46.7329833,-90.8198667,CB13-1511,exact,,46.7329833,-90.8198667,25,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1513,1513,Z4_BandNO,,46.8626333,-90.7685,CB13-1513,exact,,46.8626333,-90.7685,24,clay,,onlyprim,clay_silt,0,,invPF,CB13-1513,46.8626333,-90.7685,"CTD, deep WQ also",surface,18.1,,9.2,100.1,,101.2,9.6,,
CB13-1517,1517,Z4_BandNO,,46.8141833,-90.8024333,CB13-1517,exact,,46.8141833,-90.8024333,35,clay,,onlyprim,clay_silt,0,,"invPF, invZT",CB13-1517,46.8141833,-90.8024333,"CTD, deep WQ also",surface,17.7,,9.1,100.3,,99,9.4,,
CB13-1521,1521,Z4_BandYES,,46.8345,-90.7926667,CB13-1521,exact,,46.8345,-90.7926667,2.9,clay,,onlyprim,clay_silt,3,"ribbon-leaf potam, water moss",invPF,CB13-1521,46.8345,-90.7926667,,surface,19.7,,7.9,96.3,2.4,105.8,9.5,,
CB13-1521BS,1521,Z4_BandYES,Matched to sled,46.8345,-90.7935,CB13-1521BS,exact,,46.8345,-90.7935,5,clay,rock,prim/secd,clay_silt,2,"chara, potam",,,,,,,,,,,,,,,
CB13-1527,1527,Z4_BandNO,,46.7452167,-90.8552667,CB13-1527,exact,,46.7452167,-90.8552667,18,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1540,1540,Z4_BandNO,,46.7721333,-90.84535,CB13-1540,exact,,46.7721333,-90.84535,25,clay,,onlyprim,clay_silt,0,,invPF,CB13-1540,46.7721333,-90.84535,"CTD, deep WQ also",surface,18.5,,6.3,100.5,,102.1,9.6,,
CB13-1553,1553,Z4_BandNO,,46.8718833,-90.7665833,CB13-1553,exact,,46.8718833,-90.7665833,17,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1555,1555,Z4_BandNO,,46.7415167,-90.8457833,CB13-1555,exact,,46.7415167,-90.8457833,20,clay,,onlyprim,clay_silt,0,,"invPF, invZT",CB13-1555,46.7415167,-90.8457833,"CTD, deep WQ also",surface,18.9,,8.4,100.5,,99.7,9.3,,
CB13-1572,1572,Z4_BandNO,,46.7808,-90.8457333,CB13-1572,exact,,46.7808,-90.8457333,21,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1574,1574,Z4_BandNO,,46.9117167,-90.769,CB13-1574,exact,,46.9117167,-90.769,21,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1575,1575,Z4_BandNO,,46.7523167,-90.8567667,CB13-1575,exact,,46.7523167,-90.8567667,20,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1580,1580,Z4_BandYES,,46.7773333,-90.8606667,CB13-1580,exact,,46.7773333,-90.8606667,2.6,clay,,onlyprim,clay_silt,2,"potam, elodea",invPF,CB13-1580,46.7773333,-90.8606667,,surface,18.4,,7.98,94.4,1.9,108.4,10.04,,
CB13-1591,1591,Z4_BandNO,,46.73,-90.8228167,CB13-1591,exact,,46.73,-90.8228167,22,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1594,1594,Z4_BandNO,,46.93895,-90.8114667,CB13-1594,exact,,46.93895,-90.8114667,17,clay,organic,prim/secd,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1600,1600,Z4_BandYES,,46.7576667,-90.881,CB13-1600,exact,,46.7576667,-90.881,3.5,clay,,onlyprim,clay_silt,3,potam,invPF,CB13-1600,46.7576667,-90.881,,surface,18.57,,8.05,94.4,2.3,109.2,10.07,,
CB13-1603,1603,Z4_BandNO,,46.742367,-90.854467,CB13-1603,exact,,46.742367,-90.854467,18,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1604,1604,Z4_BandNO,,46.7650167,-90.858,CB13-1604,exact,,46.7650167,-90.858,24,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1605,1605,Z4_BandYES,,46.8823333,-90.7623333,CB13-1605,exact,,46.8823333,-90.7623333,6.6,clay,,onlyprim,clay_silt,2,chara,invPF,CB13-1605,46.8823333,-90.7623333,,surface,18.9,,8,94.8,2,107.8,9.97,,
CB13-1607,1607,Z4_BandNO,,46.7443,-90.8655667,CB13-1607,exact,,46.7443,-90.8655667,16,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1619,1619,Z4_BandNO,,46.7442,-90.8433167,CB13-1619,exact,,46.7442,-90.8433167,20,clay,,onlyprim,clay_silt,0,,,,,,,,,,,,,,,,
CB13-1634,1634,Z4_BandYES,,46.8931667,-90.749,CB13-1634,exact,,46.8931667,-90.749,7.6,clay,,onlyprim,clay_silt,2,chara,invPF,CB13-1634,46.8931667,-90.749,,surface,18.3,,8,94.9,2.3,106.5,9.9,,
CB13-1637,1637,Z4_BandYES,,46.8786667,-90.769,CB13-1637,exact,,46.8786667,-90.769,6.4,clay,,onlyprim,clay_silt,2,chara,invPF,CB13-1637,46.8786667,-90.769,,surface,18.7,,7.9,95.4,2.7,108.4,10,,
CB13-1673,1673,Z4_BandYES,,46.8786667,-90.769,CB13-1673,exact,,46.8786667,-90.769,6.4,clay,,onlyprim,clay_silt,2,chara,invPF,CB13-1673,46.8786667,-90.769,,surface,18.7,,7.89,95.4,2.7,108.4,10,,
APIS17_00T,00T,target,APIS Dock,47.08632,-90.42342,APIS17_00T,loc_off,232 m,47.08441,-90.42226,7,cobble,,onlyprim,hard,,,exact,,47.08483,-90.42216,CTD data,surface: 2 m,16.988,,8.287,99.391,,,9.269,,0.681
APIS17_01T,01T,target,APIS Dock,47.06208,-90.72857,APIS17_01T,exact,,47.06208,-90.72856,4,rock,,onlyprim,hard,,,approx,ZT 50m W of WQ,47.06208,-90.72856,hydrolab data,surface,16.94,,8.1,14,0,105.1,105.8,,
APIS17_12T,12T,target,APIS Mooring,46.97648,-90.93237,APIS17_12T,exact,,46.97648,-90.93236,3,rock,,onlyprim,hard,,,exact,,46.97648,-90.93236,hydrolab data,surface,16.04,,8.07,13.7,1.5,106.6,10.09,,
APIS17_17T,17T,target,APIS Dock,46.96992,-90.80548,APIS17_17T,approx,183m S of HAB,46.96991,-90.80548,2.2,rock,,onlyprim,hard,,,approx,ZT 183m S of WQ ,46.96991,-90.80548,hydrolab data,surface,17.15,,8.08,14.3,3.1,105.2,9.9,,
APIS17_23T,23T,target,Near Private Dock,46.96205,-90.94563,APIS17_23T,loc_off,485m SW of HAB,46.96205,-90.94563,1.9,rock,,onlyprim,hard,,,loc_off,ZT 485m SW of WQ,46.96205,-90.94563,hydrolab data,surface,17.39,,8.14,15,0,107.9,10.03,,
APIS17_44T,44T,target,APIS Dreissenid,46.84968,-90.5444,APIS17_44T,approx,23 m,46.84961,-90.54411,11.3,cobble,,onlyprim,hard,,,exact,,46.84916,-90.5445,CTD data,surface: 2 m,16.8502,16.8502,7.968,33.323,,,9.3536,9.3536,0.5064
APIS17_53R,53R,random,random,47.07797,-90.59097,APIS17_53R,exact,,47.07796,-90.59096,8,cobble,,onlyprim,hard,,,exact,,47.07666,-90.591,CTD data,surface: 2 m,17.2121,,8.162,100.744,,,7.3947,,0.5919
APIS17_65R,65R,random,random,47.07895,-90.73548,APIS17_65R,exact,,47.07895,-90.73548,11,rock,,onlyprim,hard,,,exact,,47.07895,-90.73548,hydrolab data,surface,16.96,,8.09,14,0,105.5,10,,
APIS17_68R,68R,random,random,46.90355,-90.45933,APIS17_68R,approx,102 m,46.9031,-90.45816,7,cobble,,onlyprim,hard,,,exact,,46.903,-90.45816,CTD data,surface: 2 m,17.0875,,8.402,99.558,,,9.407,,0.4991
CB13-0008,8,Z2_BandYES,,46.5961,-90.8885667,CB13-0008,exact,,46.5961,-90.8885667,3.5,gravel,sand,prim/secd,hard,0,,,,,,,,,,,,,,,,
CB13-0164,164,Z2_BandYES,,46.6058667,-90.8593167,CB13-0164,exact,,46.6058667,-90.8593167,1.9,gravel,sand,prim/secd,hard,0,,,,,,,,,,,,,,,,
CB13-0197,197,Z2_BandYES,,46.6074181,-90.8529488,CB13-0197,exact,,46.6074181,-90.8529488,1.5,gravel,sand,prim/secd,hard,0,,,,,,,,,,,,,,,,
CB13-0269,269,Z2_BandYES,,46.6513167,-90.74865,CB13-0269,exact,,46.6513167,-90.74865,0.9,gravel,organic,prim/secd,hard,4,wild rice,invPF,CB13-0269,46.6513167,-90.74865,,surface,23.3,,8.97,97.9,7.7,99.1,8.31,,
CB13-0277,277,Z2_BandYES,,46.6112167,-90.8470333,CB13-0277,exact,,46.6112167,-90.8470333,1.5,gravel,sand,prim/secd,hard,3,potam,,,,,,,,,,,,,,,
CB13-1549BS,1549,Z4_BandYES,Matched to sled,46.811,-90.8113333,CB13-1549BS,exact,,46.811,-90.8113333,3.8,rock,,onlyprim,hard,0,,,,,,,,,,,,,,,,
CB13-0016,16,Z3_BandNO,,46.6641667,-90.8961667,CB13-0016,exact,,46.6641667,-90.8961667,4.6,sand,organic,equal,organic_plus,2,chara,invPF,CB13-0016,46.6641667,-90.8961667,,surface,19.74,,8.73,92,4.7,125,11.21,,
CB13-0055,55,Z3_BandNO,,46.7223333,-90.8623333,CB13-0055,exact,,46.7223333,-90.8623333,13.4,organic,clay,equal,organic_plus,0,,invPF,CB13-0055,46.7223333,-90.8623333,,surface,19.1,,8.1,94.5,3.3,107.2,9.7,,
